junta,exp,anio,Identificador,NumAbogado,Contador,Folio,
11,1540,2017,11_1540_2017,25,1,25_1,
11,778,2018,11_778_2018,25,2,25_2,
2,2008,2017,2_2008_2017,25,3,25_3,
3,803,2017,3_803_2017,25,4,25_4,
3,1380,2017,3_1380_2017,25,5,25_5,
18,1438,2018,18_1438_2018,25,6,25_6,
12,1938,2018,12_1938_2018,25,7,25_7,
15,218,2018,15_218_2018,25,8,25_8,
5,1032,2018,5_1032_2018,25,9,25_9,
16,190,2018,16_190_2018,25,10,25_10,
8,2313,2017,8_2313_2017,25,11,25_11,
10,1945,2017,10_1945_2017,25,12,25_12,
1,671,2019,1_671_2019,25,13,25_13,
8,500,2018,8_500_2018,25,14,25_14,
4,1341,2017,4_1341_2017,25,15,25_15,
4,939,2018,4_939_2018,25,16,25_16,
4,1545,2017,4_1545_2017,25,17,25_17,
12,2458,2017,12_2458_2017,25,18,25_18,
9,1339,2018,9_1339_2018,25,19,25_19,
9,846,2018,9_846_2018,25,20,25_20,
9,1971,2017,9_1971_2017,25,21,25_21,
8,1271,2018,8_1271_2018,25,22,25_22,
10,123,2018,10_123_2018,25,23,25_23,
12,1795,2017,12_1795_2017,25,24,25_24,
18,1602,2017,18_1602_2017,25,25,25_25,
8,1364,2017,8_1364_2017,25,26,25_26,
9,1150,2018,9_1150_2018,25,27,25_27,
6,316,2018,6_316_2018,25,28,25_28,
19,165,2018,19_165_2018,25,29,25_29,
10,184,2018,10_184_2018,25,30,25_30,
12,2653,2017,12_2653_2017,25,31,25_31,
10,2193,2017,10_2193_2017,25,32,25_32,
4,1450,2018,4_1450_2018,25,33,25_33,
1,1542,2018,1_1542_2018,25,34,25_34,
14,287,2018,14_287_2018,25,35,25_35,
1,701,2018,1_701_2018,25,36,25_36,
4,707,2017,4_707_2017,25,37,25_37,
12,2365,2017,12_2365_2017,25,38,25_38,
18,1943,2017,18_1943_2017,25,39,25_39,
13,867,2017,13_867_2017,25,40,25_40,
11,1079,2018,11_1079_2018,25,41,25_41,
3,1390,2017,3_1390_2017,25,42,25_42,
8,816,2018,8_816_2018,25,43,25_43,
10,2155,2017,10_2155_2017,25,44,25_44,
11,1996,2018,11_1996_2018,25,45,25_45,
15,975,2018,15_975_2018,25,46,25_46,
2,1432,2018,2_1432_2018,25,47,25_47,
8,660,2018,8_660_2018,25,48,25_48,
11,1397,2018,11_1397_2018,25,49,25_49,
9,285,2018,9_285_2018,25,50,25_50,
1,458,2018,1_458_2018,25,51,25_51,
12,2485,2017,12_2485_2017,25,52,25_52,
18,395,2018,18_395_2018,25,53,25_53,
3,629,2018,3_629_2018,25,54,25_54,
7,2428,2017,7_2428_2017,25,55,25_55,
12,1300,2018,12_1300_2018,25,56,25_56,
4,958,2017,4_958_2017,25,57,25_57,
12,2540,2017,12_2540_2017,25,58,25_58,
5,79,2018,5_79_2018,25,59,25_59,
1,1781,2017,1_1781_2017,25,60,25_60,
8,827,2018,8_827_2018,25,61,25_61,
7,1185,2017,7_1185_2017,25,62,25_62,
15,1224,2017,15_1224_2017,25,63,25_63,
18,872,2018,18_872_2018,25,64,25_64,
7,1096,2018,7_1096_2018,25,65,25_65,
5,1344,2017,5_1344_2017,25,66,25_66,
7,2031,2017,7_2031_2017,25,67,25_67,
10,1305,2017,10_1305_2017,25,68,25_68,
12,1650,2017,12_1650_2017,25,69,25_69,
12,59,2018,12_59_2018,25,70,25_70,
7,2121,2017,7_2121_2017,25,71,25_71,
12,1208,2018,12_1208_2018,25,72,25_72,
8,534,2018,8_534_2018,25,73,25_73,
7,1353,2018,7_1353_2018,25,74,25_74,
9,570,2018,9_570_2018,25,75,25_75,
8,2029,2017,8_2029_2017,25,76,25_76,
10,1263,2017,10_1263_2017,25,77,25_77,
9,1862,2017,9_1862_2017,25,78,25_78,
19,620,2017,19_620_2017,25,79,25_79,
7,1051,2018,7_1051_2018,25,80,25_80,
10,2218,2017,10_2218_2017,25,81,25_81,
7,2354,2017,7_2354_2017,25,82,25_82,
11,2765,2017,11_2765_2017,25,83,25_83,
7,2084,2017,7_2084_2017,25,84,25_84,
10,475,2018,10_475_2018,25,85,25_85,
6,286,2018,6_286_2018,25,86,25_86,
2,1110,2018,2_1110_2018,25,87,25_87,
4,304,2018,4_304_2018,25,88,25_88,
16,1587,2017,16_1587_2017,25,89,25_89,
3,1073,2017,3_1073_2017,25,90,25_90,
3,1056,2018,3_1056_2018,25,91,25_91,
8,1313,2018,8_1313_2018,25,92,25_92,
8,1648,2018,8_1648_2018,25,93,25_93,
1,1993,2017,1_1993_2017,25,94,25_94,
1,1025,2017,1_1025_2017,25,95,25_95,
10,1033,2018,10_1033_2018,25,96,25_96,
10,1962,2018,10_1962_2018,25,97,25_97,
10,1058,2018,10_1058_2018,25,98,25_98,
9,615,2018,9_615_2018,25,99,25_99,
5,99,2018,5_99_2018,25,100,25_100,
9,759,2018,9_759_2018,25,101,25_101,
18,1119,2018,18_1119_2018,25,102,25_102,
11,2727,2017,11_2727_2017,25,103,25_103,
10,1291,2017,10_1291_2017,25,104,25_104,
2,763,2018,2_763_2018,25,105,25_105,
12,3001,2017,12_3001_2017,25,106,25_106,
9,1338,2018,9_1338_2018,25,107,25_107,
15,313,2018,15_313_2018,25,108,25_108,
7,602,2018,7_602_2018,25,109,25_109,
15,857,2018,15_857_2018,25,110,25_110,
8,1892,2017,8_1892_2017,25,111,25_111,
7,396,2018,7_396_2018,25,112,25_112,
7,2358,2017,7_2358_2017,25,113,25_113,
8,1439,2017,8_1439_2017,25,114,25_114,
13,1315,2017,13_1315_2017,25,115,25_115,
12,1888,2018,12_1888_2018,25,116,25_116,
18,703,2018,18_703_2018,25,117,25_117,
11,1207,2018,11_1207_2018,25,118,25_118,
5,930,2017,5_930_2017,25,119,25_119,
15,592,2018,15_592_2018,25,120,25_120,
2,949,2018,2_949_2018,25,121,25_121,
15,1431,2017,15_1431_2017,25,122,25_122,
