	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	perc_non_pos_npv	ratio_win_minley	win	lost	settement	drop
						
new_coyote	0.0993***	-0.00585	-0.000760	0.0246	-0.0869***	0.0631*
	(0.0337)	(0.0372)	(0.0223)	(0.0161)	(0.0330)	(0.0331)
abogado_pub	-0.0841***	0.119***	-0.0404**	0.0294*	0.0720**	-0.0609*
	(0.0286)	(0.0254)	(0.0159)	(0.0160)	(0.0278)	(0.0315)
salario_diario	4.04e-06	-1.43e-05	5.30e-07	-9.90e-06	-1.18e-05	2.12e-05
	(1.90e-05)	(9.26e-06)	(9.74e-06)	(7.87e-06)	(1.69e-05)	(1.61e-05)
c_antiguedad	-0.00707*	0.00975***	-0.000431	-0.00590***	0.00466	0.00167
	(0.00364)	(0.00210)	(0.00216)	(0.00113)	(0.00382)	(0.00337)
gen	-0.0663**	-0.0250	-0.0444***	0.00379	0.0573**	-0.0166
	(0.0275)	(0.0191)	(0.0150)	(0.0163)	(0.0285)	(0.0237)
Constant	0.406***	0.136***	0.118***	0.0728***	0.610***	0.200***
	(0.0319)	(0.0216)	(0.0181)	(0.0146)	(0.0312)	(0.0266)
						
Observations	1,193	1,193	1,193	1,193	1,193	1,193
R-squared	0.017	0.034	0.009	0.020	0.012	0.009
Dep. var mean	0.353	0.171	0.0867	0.0551	0.646	0.212
s	0.478	0.332	0.282	0.228	0.478	0.409
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
