
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="ha_hablado_con_abogado_publico",="private_formal",="private_informal",="demando_con_abogado_publico",="private_formal",="private_informal"

="Control",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="Calculator",="-0.12***",="0.088***",="-0.088***",="-0.058***",="0.042**",="-0.042**"
="",="(0.029)",="(0.026)",="(0.026)",="(0.021)",="(0.018)",="(0.018)"

="Calculator + letter",="-0.27***",="0.021",="-0.021",="-0.057**",="-0.025",="0.025"
="",="(0.029)",="(0.030)",="(0.030)",="(0.023)",="(0.018)",="(0.018)"

="mujer",="-0.0017",="0.0076",="-0.0076",="0.051***",="-0.00010",="0.00010"
="",="(0.022)",="(0.022)",="(0.022)",="(0.018)",="(0.014)",="(0.014)"

="antiguedad",="-0.0039*",="0.0056**",="-0.0056**",="-0.0026",="0.0036**",="-0.0036**"
="",="(0.0022)",="(0.0025)",="(0.0025)",="(0.0016)",="(0.0017)",="(0.0017)"

="salario_diario",="-0.000027**",="0.000063",="-0.000063",="-0.0000051",="0.000011",="-0.000011"
="",="(0.000011)",="(0.000045)",="(0.000045)",="(0.000028)",="(0.000014)",="(0.000014)"

="Constant",="0.41***",="0.24***",="0.76***",="0.19***",="0.10***",="0.90***"
="",="(0.025)",="(0.028)",="(0.028)",="(0.019)",="(0.014)",="(0.014)"

="Observations",="1779",="1777",="1777",="2019",="2032",="2032"
="R-squared",="0.056",="0.015",="0.015",="0.012",="0.009",="0.009"
="Source",="2w",="2w",="2w",="2m",="2m",="2m"
="BVC",="YES",="YES",="YES",="YES",="YES",="YES"
="Obs per group",="709/655/415",="708/655/414",="708/655/414",="776/735/508",="779/742/511",="779/742/511"
="Days per group",="80/91/61",="80/91/61",="80/91/61",="93/106/75",="93/106/75",="93/106/75"
="Control Mean",=".383638928067701",=".2824858757062147",=".7175141242937854",=".2048969072164948",=".1206675224646983",=".8793324775353016"
="T2 = T3",="0.00000020",="0.016",="0.016",="0.94",="0.00080",="0.00080"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
