
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="conflicto_arreglado_2w",="cond_hablo_con_publico",="cond_hablo_con_publico",="conflicto_arreglado_2w",="conflicto_arreglado_2m",="cond_hablo_con_publico",="cond_hablo_con_publico",="conflicto_arreglado_2m",="conflicto_arreglado",="cond_hablo_con_publico",="cond_hablo_con_publico",="conflicto_arreglado",="entablo_demanda_2m",="cond_hablo_con_publico",="cond_hablo_con_publico",="entablo_demanda_2m"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.cond_hablo_con_publico",="0",="",="",="0",="0",="",="",="0",="0",="",="",="0",="0",="",="",="0"
="",="(.)",="",="",="(0)",="(.)",="",="",="(0)",="(.)",="",="",="(0)",="(.)",="",="",="(0)"

="1.cond_hablo_con_publico",="0.23",="",="",="0.24",="0.41**",="",="",="0.36*",="0.42**",="",="",="0.37**",="-0.13",="",="",="-0.11"
="",="(0.15)",="",="",="(0.15)",="(0.20)",="",="",="(0.19)",="(0.20)",="",="",="(0.18)",="(0.19)",="",="",="(0.19)"

="mujer",="-0.0099",="0.037",="0.13",="-0.010",="-0.045",="0.037",="0.13",="-0.043",="-0.038",="0.037",="0.13",="-0.037",="0.029",="0.036",="0.13",="0.028"
="",="(0.029)",="(0.027)",="(0.089)",="(0.029)",="(0.037)",="(0.027)",="(0.089)",="(0.034)",="(0.038)",="(0.027)",="(0.089)",="(0.036)",="(0.035)",="(0.027)",="(0.089)",="(0.035)"

="antiguedad",="0.0054",="-0.0059**",="-0.018**",="0.0055",="0.0052",="-0.0059**",="-0.018**",="0.0049",="0.0036",="-0.0059**",="-0.018**",="0.0033",="0.0011",="-0.0059**",="-0.019**",="0.0012"
="",="(0.0035)",="(0.0030)",="(0.0088)",="(0.0035)",="(0.0050)",="(0.0030)",="(0.0088)",="(0.0048)",="(0.0050)",="(0.0030)",="(0.0088)",="(0.0047)",="(0.0044)",="(0.0029)",="(0.0088)",="(0.0043)"

="salario_diario",="0.0000068",="0.000011",="0.000033",="0.0000069",="0.000057",="0.000011",="0.000033",="0.000056",="0.000035",="0.000011",="0.000033",="0.000035",="-0.000032",="0.000011",="0.000035",="-0.000032"
="",="(0.000050)",="(0.000063)",="(0.00019)",="(0.000046)",="(0.000073)",="(0.000063)",="(0.00019)",="(0.000075)",="(0.000070)",="(0.000063)",="(0.00019)",="(0.000069)",="(0.000069)",="(0.000063)",="(0.00020)",="(0.000069)"

="1.ab_treatment",="",="0",="0",="",="",="0",="0",="",="",="0",="0",="",="",="0",="0",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""

="2.ab_treatment",="",="0.19***",="0.61***",="",="",="0.19***",="0.61***",="",="",="0.19***",="0.61***",="",="",="0.19***",="0.63***",=""
="",="",="(0.030)",="(0.10)",="",="",="(0.030)",="(0.10)",="",="",="(0.030)",="(0.10)",="",="",="(0.030)",="(0.10)",=""

="gen_resid_pr",="",="",="",="-0.17*",="",="",="",="-0.19",="",="",="",="-0.22**",="",="",="",="0.060"
="",="",="",="",="(0.089)",="",="",="",="(0.12)",="",="",="",="(0.11)",="",="",="",="(0.11)"

="_cons",="0.0038",="0.66***",="0.40***",="-0.0000069",="0.13",="0.66***",="0.40***",="0.17",="0.19",="0.66***",="0.40***",="0.22",="0.58***",="0.66***",="0.40***",="0.56***"
="",="(0.12)",="(0.035)",="(0.10)",="(0.12)",="(0.16)",="(0.035)",="(0.10)",="(0.15)",="(0.16)",="(0.035)",="(0.10)",="(0.15)",="(0.15)",="(0.035)",="(0.10)",="(0.15)"

="N",="917",="917",="917",="917",="917",="917",="917",="917",="917",="917",="917",="917",="914",="914",="914",="914"
="R-sq",=".",="0.051",="",="0.009",=".",="0.051",="",="0.008",=".",="0.051",="",="0.006",=".",="0.054",="",="0.002"
="BVC",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES"
="Source",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
