
="",="(1)",="(2)",="(3)",="(4)"
="",="conflicto_arreglado",="hablo_con_abogado",="conflicto_arreglado",="entablo_demanda"

="Control",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Calculator",="-0.018",="-0.0070",="0.047*",="-0.052*"
="",="(0.029)",="(0.028)",="(0.028)",="(0.027)"

="Calculator + letter",="0.083**",="-0.20***",="0.16***",="-0.12***"
="",="(0.035)",="(0.032)",="(0.032)",="(0.031)"

="mujer",="-0.013",="0.0094",="-0.047**",="0.058***"
="",="(0.022)",="(0.022)",="(0.022)",="(0.022)"

="antiguedad",="-0.00046",="-0.00041",="0.0046*",="-0.0013"
="",="(0.0021)",="(0.0027)",="(0.0026)",="(0.0022)"

="salario_diario",="0.0000019",="0.0000031",="0.000044**",="-0.0000047"
="",="(0.000019)",="(0.000027)",="(0.000018)",="(0.000025)"

="Constant",="0.34***",="0.60***",="0.50***",="0.37***"
="",="(0.025)",="(0.026)",="(0.025)",="(0.025)"

="Observations",="1813",="1814",="2091",="2034"
="R-squared",="0.007",="0.028",="0.022",="0.014"
="Source",="2w",="2w",="2m",="2m"
="BVC",="YES",="YES",="YES",="YES"
="Obs per group",="722/668/423",="722/669/423",="801/759/531",="781/741/512"
="Days per group",="81/91/61",="81/91/61",="93/106/75",="93/106/75"
="T2 = T3",="0.0040",="2.4e-09",="0.00041",="0.016"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
