
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="total",="settlement",="cr",="duration",="CANTIDAD OTORGADA EN CONVENIO O LAUDO",="Cantidad otorgada en laudo / acordada en convenio",="Dummy: laudo/convenio pagado COMPLETO"

="privado",="-0.34***",="0.027",="-0.025",="16.4",="14424.5***",="14717.3***",="0.020"
="",="(0.053)",="(0.032)",="(0.017)",="(23.1)",="(3759.3)",="(2200.7)",="(0.031)"

="coyote",="-0.21***",="0.048",="-0.029",="-44.2",="19613.6**",="22417.4***",="-0.030"
="",="(0.074)",="(0.044)",="(0.021)",="(31.9)",="(7707.9)",="(6118.4)",="(0.043)"

="mujer",="0.012",="0.031",="0.033**",="46.4**",="703.9",="6528.8***",="0.065**"
="",="(0.048)",="(0.029)",="(0.015)",="(20.8)",="(3846.0)",="(2096.2)",="(0.029)"

="antiguedad",="0.0022",="0.0084**",="0.0013",="3.71",="3772.1***",="2567.4***",="0.0017"
="",="(0.0055)",="(0.0034)",="(0.0021)",="(3.03)",="(1222.6)",="(339.3)",="(0.0033)"

="salario_diario",="0.000028",="0.000042***",="-0.000011***",="-0.026***",="2.96*",="58.5***",="0.000049***"
="",="(0.000028)",="(0.0000063)",="(0.0000032)",="(0.0031)",="(1.51)",="(7.17)",="(0.0000084)"

="Constant",="7.65***",="0.43***",="0.068***",="406.6***",="11049.0***",="-10418.2***",="0.37***"
="",="(0.046)",="(0.028)",="(0.014)",="(19.2)",="(4052.8)",="(2129.9)",="(0.028)"

="Observations",="1966",="1193",="1193",="874",="567",="349",="1190"
="R-squared",="0.021",="0.012",="0.008",="0.017",="0.119",="0.485",="0.012"
="DepVarMean",="",="",="",="",="",="",=""
="T2 = T3",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
