
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="total",="total",="settlement",="cr",="duration",="CANTIDAD OTORGADA EN CONVENIO O LAUDO"

="Control",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="Calculator",="-0.054",="-0.057",="0.020",="-0.0014",="2.90",="-12668.8*"
="",="(0.067)",="(0.098)",="(0.049)",="(0.027)",="(35.8)",="(7568.1)"

="Calculator + letter",="-0.053",="-0.047",="-0.046",="-0.030",="-9.15",="-10797.6"
="",="(0.089)",="(0.11)",="(0.067)",="(0.027)",="(36.8)",="(7250.4)"

="mujer",="0.10*",="0.13",="0.025",="0.024",="39.3",="1253.4"
="",="(0.061)",="(0.091)",="(0.043)",="(0.026)",="(33.5)",="(6120.0)"

="antiguedad",="0.00062",="0.0096",="0.0033",="0.0045",="4.06",="4146.3**"
="",="(0.0063)",="(0.0093)",="(0.0044)",="(0.0033)",="(4.01)",="(1646.8)"

="salario_diario",="0.0000073",="0.000070**",="0.000040***",="-0.0000098",="-0.027***",="2.84"
="",="(0.000021)",="(0.000031)",="(0.000013)",="(0.0000069)",="(0.0058)",="(3.20)"

="Constant",="7.35***",="6.85***",="0.47***",="0.060**",="408.8***",="23635.7***"
="",="(0.061)",="(0.085)",="(0.040)",="(0.024)",="(35.1)",="(6407.4)"

="Observations",="1906",="642",="1654",="1654",="1214",="788"
="R-squared",="0.003",="0.007",="0.007",="0.009",="0.011",="0.116"
="DepVarMean",="7.37",="6.94",="0.50",="0.50",="433.0",="33182.3"
="T2 = T3",="0.99",="0.93",="0.32",="0.37",="0.75",="0.71"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
