
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="bajo_inm",="bajo_inm",="bajo_inm",="bajo_inm",="bajo_inm",="bajo_inm",="bajo_inm",="bajo_inm",="bajo_inm",="bajo_inm",="bajo_inm",="bajo_inm",="bajo_inm",="bajo_inm",="bajo_inm",="bajo_inm"

="1.perc_tenure",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.perc_tenure",="0.12",="0.0074",="0.061",="-64784.1",="0.11",="0.00020",="-0.080",="-1136.4",="-0.096",="-0.14",="0.28",="24415.4**",="0.014",="0.057",="0.19",="163.0"
="",="(0.12)",="(0.049)",="(0.19)",="(55535.3)",="(0.16)",="(0.059)",="(0.23)",="(11040.7)",="(0.094)",="(0.11)",="(0.23)",="(9635.1)",="(0.20)",="(0.049)",="(0.37)",="(6144.3)"

="3.perc_tenure",="-0.015",="0.0042",="-0.024",="9928.1",="-0.036",="-0.0077",="-0.022",="-4527.6",="-0.019",="0.0100",="0.082",="2905.1",="0.084",="0.034",="0.099",="1145.7"
="",="(0.020)",="(0.012)",="(0.040)",="(18838.8)",="(0.045)",="(0.022)",="(0.095)",="(13993.2)",="(0.056)",="(0.028)",="(0.12)",="(9046.1)",="(0.077)",="(0.032)",="(0.099)",="(4799.9)"

="4.perc_tenure",="0.016",="0.0084",="-0.036",="-7149.4",="0.025",="0.020",="-0.17*",="4651.8",="0.13*",="0.040",="-0.11",="-8982.9",="0.080",="0.056*",="0.11",="739.0"
="",="(0.024)",="(0.012)",="(0.039)",="(6256.5)",="(0.053)",="(0.026)",="(0.088)",="(10688.4)",="(0.065)",="(0.030)",="(0.11)",="(8481.1)",="(0.075)",="(0.032)",="(0.10)",="(5259.1)"

="5.perc_tenure",="0.0055",="0.012",="-0.074**",="-20014.0***",="-0.024",="0.011",="-0.12",="-6423.7",="0.069",="0.040",="-0.15",="-10620.9",="0.077",="0.046",="0.13",="10539.4"
="",="(0.025)",="(0.013)",="(0.037)",="(7469.9)",="(0.051)",="(0.025)",="(0.093)",="(19513.7)",="(0.070)",="(0.038)",="(0.12)",="(28381.9)",="(0.084)",="(0.034)",="(0.10)",="(12263.2)"

="mujer",="-0.020",="-0.0087",="0.032",="5748.7",="-0.052",="-0.015",="-0.030",="-15176.5",="0.012",="-0.0012",="0.033",="11156.8",="0.045",="0.015",="0.022",="13152.2*"
="",="(0.018)",="(0.0096)",="(0.032)",="(14284.1)",="(0.037)",="(0.021)",="(0.064)",="(13621.5)",="(0.047)",="(0.026)",="(0.082)",="(10940.7)",="(0.059)",="(0.024)",="(0.079)",="(7397.1)"

="salario_diario",="-0.000036*",="0.000015",="0.000049",="126.8",="-0.0000047",="-0.0000034",="-0.000046",="-28.7",="0.00016",="-0.000087",="0.000053",="31.1",="-0.000093",="-0.000041",="0.00024",="75.5**"
="",="(0.000021)",="(0.0000099)",="(0.000072)",="(107.1)",="(0.000079)",="(0.000047)",="(0.00017)",="(38.9)",="(0.00013)",="(0.000089)",="(0.00021)",="(46.6)",="(0.00015)",="(0.000053)",="(0.00021)",="(36.7)"

="_cons",="0.087***",="-0.034***",="0.10***",="-40689.7",="0.24***",="-0.034",="0.50***",="9567.6",="0.14***",="-0.025",="0.45***",="-15590.9",="0.24***",="-0.031",="0.26***",="-24403.7*"
="",="(0.019)",="(0.0095)",="(0.035)",="(39544.1)",="(0.047)",="(0.023)",="(0.097)",="(17347.2)",="(0.054)",="(0.034)",="(0.12)",="(18183.3)",="(0.069)",="(0.029)",="(0.095)",="(13917.3)"

="N",="954",="954",="443",="443",="538",="538",="236",="236",="345",="345",="157",="157",="270",="270",="182",="182"
="R-sq",="0.006",="0.004",="0.012",="0.118",="0.008",="0.004",="0.020",="0.012",="0.026",="0.027",="0.036",="0.023",="0.010",="0.019",="0.019",="0.123"
="BVC",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="T2=T3",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
