
="",="(1)",="(2)"
="",="total",="total"

="Tipo de abogado",="0.065",="-0.072"
="",="(0.054)",="(0.11)"

="Reclutamiento",="-0.065",="-0.22"
="",="(0.076)",="(0.14)"

="Giro empresa",="0.0075***",="0.014***"
="",="(0.0025)",="(0.0053)"

="Trabajador de confianza",="-0.078",="-0.12"
="",="(0.17)",="(0.31)"

="Sueldo estadistico",="-0.000000023",="-0.00000011"
="",="(0.00000020)",="(0.00000041)"

="Periodicidad del sueldo estadistico",="-0.068*",="-0.17**"
="",="(0.037)",="(0.072)"

="Tipo de jornada",="0.044",="0.026"
="",="(0.043)",="(0.085)"

="Numero de horas laboradas",="-0.0047*",="-0.0100**"
="",="(0.0024)",="(0.0047)"

="Periodicidad de las horas laboradas",="0.066",="0.042"
="",="(0.066)",="(0.13)"

="Reinstalacion",="0.68",="-0.042"
="",="(0.64)",="(0.69)"

="Indemnizacion constitucional",="0.30*",="0.28"
="",="(0.16)",="(0.32)"

="Salarios caidos",="0.20",="-0.021"
="",="(0.23)",="(0.52)"

="Prima de antiguedad",="-0.020",="-0.24"
="",="(0.099)",="(0.21)"

="Vacaciones",="-0.26",="-0.78"
="",="(0.31)",="(0.68)"

="Prima vacacional",="0.11",="0.61"
="",="(0.27)",="(0.46)"

="Aguinaldo",="-0.66***",="0.028"
="",="(0.25)",="(0.47)"

="Horas extra",="-0.12",="-0.51**"
="",="(0.10)",="(0.20)"

="indemnizacion de 20 dias por año de servicio",="-0.14",="-0.023"
="",="(0.12)",="(0.21)"

="Prima dominical",="-0.19**",="-0.39**"
="",="(0.086)",="(0.16)"

="Descanso semanal",="0.049",="0.11"
="",="(0.095)",="(0.18)"

="Descanso obligatorio",="-0.053",="-0.090"
="",="(0.097)",="(0.17)"

="Cuotas sar/imss/info",="-0.011",="-0.035"
="",="(0.069)",="(0.13)"

="Utilidades",="-0.021",="-0.17"
="",="(0.096)",="(0.17)"

="Salarios devengados numero de dias",="-0.00021",="-0.00023"
="",="(0.00025)",="(0.00019)"

="Nulidad",="0.24***",="0.017"
="",="(0.085)",="(0.15)"

="Accion principal",="-0.097",="0.025"
="",="(0.13)",="(0.14)"

="Tipo de prevencion",="-0.027",="0.0097"
="",="(0.031)",="(0.060)"

="derecho_propio_c_clv",="0.22**",="0.43**"
="",="(0.10)",="(0.22)"

="giro_defendant_c_clv",="-0.039",="-0.23"
="",="(0.095)",="(0.23)"

="num_demandados_totales",="-0.050*",="-0.11*"
="",="(0.030)",="(0.056)"

="num_demandados_completos",="0.082**",="0.14*"
="",="(0.037)",="(0.079)"

="num_abogados_proemio",="-0.40",="-0.068"
="",="(0.33)",="(0.25)"

="num_abogados_proemio_completos",="0.37",="0.030"
="",="(0.33)",="(0.27)"

="incrementos_sal_c_clv",="-0.14",="0.20"
="",="(0.18)",="(0.30)"

="contrato_c_clv",="0.059",="0.18"
="",="(0.085)",="(0.16)"

="lugar_trabajo_c_clv",="0.038",="-0.061"
="",="(0.071)",="(0.13)"

="horario_inicio_jornada_c_clv",="0.049",="0.0013"
="",="(0.038)",="(0.048)"

="horario_fin_jornada_c_clv",="0.13",="0.31"
="",="(0.37)",="(0.63)"

="especifican_dias_c_clv",="0.11",="-0.043"
="",="(0.23)",="(0.43)"

="salario_int_clv",="0.24",="0.41"
="",="(0.28)",="(0.58)"

="periodo_sal_int_clv",="-0.30",="-0.59"
="",="(0.28)",="(0.58)"

="fecha_despido_c_clv",="0.089",="1.81*"
="",="(0.44)",="(0.95)"

="lugar_despido_c_clv",="0.30",="0.50"
="",="(0.21)",="(0.41)"

="motivo_despido_c_clv",="0.11",="0.0070"
="",="(0.094)",="(0.18)"

="cargo_despide_clv",="-0.032",="0.061"
="",="(0.091)",="(0.15)"

="presentado_tiempo_forma_c_clv",="-0.051",="-0.0022"
="",="(0.080)",="(0.15)"

="personalidad_c_clv",="0.13**",="0.044"
="",="(0.063)",="(0.12)"

="firma_trabajador_c_clv",="-0.084",="-0.21"
="",="(0.071)",="(0.13)"

="Constant",="7.10***",="5.03***"
="",="(0.96)",="(1.45)"

="Observations",="1386",="351"
="R-squared",="0.098",="0.264"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
