	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	reg_pred	reg_pred	reg_pred	reg_pred	reg_pred	reg_pred
						
2.main_treatment	-0.0301	-0.0181	-0.0488	-0.0353	-0.0403	-0.00314
	(0.0430)	(0.0439)	(0.0550)	(0.0571)	(0.0780)	(0.0846)
3.main_treatment	-0.00313	0.00449	0.0930	0.104	0.203	0.236
	(0.124)	(0.128)	(0.166)	(0.174)	(0.317)	(0.342)
mujer		0.0620		0.0721		0.159
		(0.0614)		(0.0744)		(0.133)
antiguedad		-0.00668		-0.00709		-0.0139
		(0.00586)		(0.00858)		(0.0161)
salario_diario		2.38e-05		2.94e-05		0.000267
		(1.82e-05)		(2.41e-05)		(0.000187)
Constant	7.935***	7.919***	7.953***	7.926***	7.799***	7.671***
	(0.0266)	(0.0370)	(0.0327)	(0.0431)	(0.0502)	(0.102)
						
Observations	694	694	497	497	266	266
R-squared	0.000	0.004	0.004	0.007	0.007	0.018
BVC	No	Yes	No	Yes	No	Yes
Source	2m	2m	2m	2m	2m	2m
Obs. per group	288/265/141	288/265/141	209/187/101	209/187/101	108/106/52	108/106/52
Days per group	79/87/59	79/87/59	67/77/48	67/77/48	52/56/33	52/56/33
F-stat T2=T3	0.0459	0.0336	0.708	0.695	0.583	0.559
p-value	0.831	0.855	0.401	0.406	0.446	0.456
Dep. var mean	7.924	7.924	7.964	7.964	7.836	7.836
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
