
="",="(1)",="(2)"
="",="hablo_con_abogado",="conflicto_arreglado"

="1.group",="0",="0"
="",="(.)",="(.)"

="2.group",="0.060**",="0.00028"
="",="(0.028)",="(0.029)"

="mujer",="-0.015",="-0.0057"
="",="(0.027)",="(0.028)"

="antiguedad",="-0.0053**",="0.0060**"
="",="(0.0026)",="(0.0025)"

="salario_diario",="-0.0000089",="0.000061**"
="",="(0.000045)",="(0.000030)"

="_cons",="0.76***",="0.23***"
="",="(0.027)",="(0.025)"

="N",="1267",="1267"
="R-squared",="0.0094",="0.0073"
="BVC",="YES",="YES"
="Source",="2w",="2w"
="Obs per group",="680/587",="680/587"
="Days per group",="120/107",="120/107"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"

="",="(1)",="(2)"
="",="conflicto_arreglado",="entablo_demanda"

="1.group",="0",="0"
="",="(.)",="(.)"

="2.group",="0.0096",="-0.013"
="",="(0.035)",="(0.033)"

="mujer",="-0.051",="0.045"
="",="(0.032)",="(0.029)"

="antiguedad",="0.0059",="-0.0027"
="",="(0.0039)",="(0.0040)"

="salario_diario",="0.000061**",="-0.000041"
="",="(0.000030)",="(0.000027)"

="_cons",="0.51***",="0.40***"
="",="(0.033)",="(0.033)"

="N",="1330",="1294"
="R-squared",="0.0086",="0.0042"
="BVC",="YES",="YES"
="Source",="2m",="2m"
="Obs per group",="741/589",="715/579"
="Days per group",="138/107",="136/106"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
