
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="sue_admin",="sue_admin",="sue_fuzzy",="sue_fuzzy",="entablo_demanda",="entablo_demanda"

="1.main_treatment",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.main_treatment",="0.0085",="0.0085",="0.0076",="0.0076",="-0.062**",="-0.062**"
="",="(0.023)",="(0.023)",="(0.022)",="(0.022)",="(0.027)",="(0.027)"

="3.main_treatment",="-0.046*",="-0.046*",="-0.061**",="-0.061**",="-0.12***",="-0.12***"
="",="(0.024)",="(0.024)",="(0.025)",="(0.025)",="(0.031)",="(0.031)"

="mujer",="0.012",="0.012",="0.0098",="0.0098",="0.058***",="0.058***"
="",="(0.018)",="(0.018)",="(0.018)",="(0.018)",="(0.022)",="(0.022)"

="antiguedad",="0.00043",="0.00043",="0.000053",="0.000053",="-0.0013",="-0.0013"
="",="(0.0019)",="(0.0019)",="(0.0019)",="(0.0019)",="(0.0022)",="(0.0022)"

="salario_diario",="-0.00000071",="-0.00000071",="-0.00000062",="-0.00000062",="-0.0000057",="-0.0000057"
="",="(0.000017)",="(0.000017)",="(0.000017)",="(0.000017)",="(0.000025)",="(0.000025)"

="_cons",="0.27***",="0.27***",="0.30***",="0.30***",="0.38***",="0.38***"
="",="(0.018)",="(0.018)",="(0.019)",="(0.019)",="(0.025)",="(0.025)"

="N",="2525",="2525",="2525",="2525",="1987",="1987"
="R-squared",="0.0026",="0.0026",="0.0039",="0.0039",="0.014",="0.014"
="BVC",="",="",="",="",="",=""
="Source",="",="",="",="",="",=""
="Obs per group",="",="",="",="",="",=""
="Days per group",="",="",="",="",="",=""
="DepVarMean",="",="",="",="",="",=""
="T2=T3",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
